Entry,ID,Na,Al,Si,H2O,Si source,Si precursor sizs (nm),Pre-dissolution of Si,Al source,Pre-dissolution of Al,Clear solution after mixing,Si/OH,Si/Al,Time (h),Temperature (°C),Morphology,Product Si/Al,SBET (m2/g),Sexternal (m2/g),Vmicro (cm3/g),pH,Product ,Unnamed: 23
37,EP37,36.9,2.0,3.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.0948509485094851,1.75,72.0,40,,,,,,13.74,79.5% EMT + 20.5% LTA,
38,EP38,36.9,1.0,3.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.0948509485094851,3.5,72.0,40,nanocrystal,1.1,635.15,100.72,0.22,13.8,EMT,
39,EP39,36.9,0.5,3.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.0948509485094851,7.0,72.0,40,,,,,,13.81,Solution,
40,EP40,36.9,2.5,6.8,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.1842818428184282,2.7199999999999998,72.0,40,nanocrystal,1.1,629.91,209.5,0.17,13.85,EMT,
41,EP41,36.9,1.0,3.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.0948509485094851,3.5,72.0,40,,,,,,13.8,LTA,
42,EP42,36.9,1.8,3.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.08130081300813008,1.6666666666666665,72.0,40,,,,,,13.42,EMT+LTA,
43,EP43,36.9,1.0,7.8,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.21138211382113822,7.8,72.0,40,nanocrystal,1.1,801.68,212.69,0.24,13.48,EMT,
44,EP44,36.9,3.0,6.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.16260162601626016,2.0,72.0,40,,,,,,13.46,82%EMT+18%RHO,
45,EP45,36.9,2.0,8.4,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.22764227642276424,4.2,72.0,40,nanocrystal,1.1,553.22,205.52,0.14,13.58,EMT,
46,EP46,36.9,0.3,3.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.08130081300813008,10.0,72.0,40,,,,,,13.62,solution,
47,EP47,36.9,3.0,7.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.2032520325203252,2.5,72.0,40,nanocrystal,1.1,570.43,208.42,0.15,13.63,EMT,
48,EP48,36.9,4.0,6.5,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,No,0.1761517615176152,1.625,72.0,40,,,,,,13.68,EMT+LTA,
49,EP49,36.9,1.0,9.0,450,Na2SiO3,2.0,Yes,NaAlO2,Yes,Yes,0.24390243902439027,9.0,72.0,40,nanocrystal,1.1,567.01,164.41,0.17,13.68,EMT,
