Entry,ID,Na,Al,Si,H2O,Si source,Si precursor sizs (nm),Pre-dissolution of Si,Al source,Pre-dissolution of Al,Si/OH,Si/Al,Time (h),Temperature (°C),Product 
150,FE09-4,11.0,2.0,5.0,190,TEOS,5,Yes,Al(OH)3,Yes,0.45454545454545453,2.5,96.0,65,LTA
151,FE10-1,10.0,0.5,2.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.25,5.0,24.0,65,FAU-EMT
152,FE10-2,10.0,0.5,2.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.25,5.0,48.0,65,FAU-EMT
153,FE10-3,10.0,0.5,2.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.25,5.0,72.0,65,FAU-EMT
155,FE11-1,10.0,0.5,2.5,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.25,5.0,24.0,65,amorphous
156,FE11-2,10.0,0.5,2.5,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.25,5.0,48.0,65,FAU-EMT
157,FE11-3,10.0,0.5,2.5,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.25,5.0,72.0,65,FAU-EMT
158,FE11-4,10.0,0.5,2.5,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.25,5.0,96.0,65,FAU-EMT
159,FE12-1,10.0,0.5,2.5,173,TEOS,5,Yes,Al(OH)3,Yes,0.25,5.0,24.0,65,LTA
160,FE12-2,10.0,0.5,2.5,173,TEOS,5,Yes,Al(OH)3,Yes,0.25,5.0,48.0,65,LTA
161,FE12-3,10.0,0.5,2.5,173,TEOS,5,Yes,Al(OH)3,Yes,0.25,5.0,72.0,65,LTA
162,FE12-4,10.0,0.5,2.5,173,TEOS,5,Yes,Al(OH)3,Yes,0.25,5.0,96.0,65,LTA
168,FE18,10.0,0.5,2.5,173,Na2SiO3,2,No,Al(OH)3,No,0.25,5.0,24.0,65,FAU-EMT
173,FE24,10.0,1.0,5.0,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.5,5.0,48.0,65,amorphous
174,FE25,10.0,1.0,5.0,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.5,5.0,72.0,65,amorphous
175,FE27,10.0,1.0,5.0,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.5,5.0,48.0,65,FAU
176,FE28,11.0,2.0,5.0,190,Na2SiO3,2,No,Al(OH)3,No,0.45454545454545453,2.5,24.0,65,amorphous
186,FE42,10.0,0.2,1.0,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.1,5.0,96.0,65,clear solution
188,FE44,10.0,1.0,5.0,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.5,5.0,96.0,65,FAU-EMT
189,FE45,10.0,2.5,5.0,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.5,2.0,96.0,65,FAU-EMT
190,FE46,10.0,1.5,7.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.75,5.0,96.0,65,amorphous + FAU-EMT
191,FE47,10.0,1.25,2.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.25,2.0,96.0,65,FAU-EMT
192,FE48,10.0,0.5,2.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.25,5.0,48.0,85,FAU-EMT
193,FE49,10.0,0.5,2.5,173,Na2SiO3,2,Yes,Al(OH)3,Yes,0.25,5.0,48.0,100,FAU-EMT
194,FE50,10.0,0.5,2.5,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.25,5.0,48.0,85,FAU+GIS
195,FE51,10.0,0.5,2.5,173,Ludox-SM30,12,Yes,Al(OH)3,Yes,0.25,5.0,48.0,100,SOD
196,FE52,10.0,0.5,2.5,173,Ludox-AS40,22,Yes,Al(OH)3,Yes,0.25,5.0,48.0,85,FAU
197,FE53,10.0,0.5,2.5,173,Ludox-AS40,22,Yes,Al(OH)3,Yes,0.25,5.0,48.0,100,FAU
198,FE54,10.0,0.5,2.5,173,TEOS,5,Yes,Al(OH)3,Yes,0.25,5.0,48.0,85,GIS+LTA
199,FE55,10.0,0.5,2.5,173,TEOS,5,Yes,Al(OH)3,Yes,0.25,5.0,48.0,100,SOD
